n_obs,condition,algorithm,trial,ctrl_ms,max_ep,min_clear,tube_safe,collision_free,task_success,qp_infeas_pct
5,disturbed,CBF-QP,19,6.215939091715302,0.9820791740637925,1.0921721741325825,True,True,True,nan
5,disturbed,CBF-QP,20,6.235806548393663,0.7810049840731397,1.5997829939714716,True,True,True,nan
5,disturbed,CBF-QP,21,6.226894425048046,0.7199163676131242,1.0781308781680923,True,True,True,nan
5,disturbed,CBF-QP,22,6.209880975959997,0.765847913463473,0.7266402760989445,True,True,True,nan
5,disturbed,CBF-QP,23,6.211471018343666,0.8781231493188539,1.0118213095666195,True,True,True,nan
5,disturbed,CBF-QP,24,6.2131035793782745,0.7087292649837144,1.296023787299118,True,True,True,nan
10,nominal,GA-STT,0,3.5967148020278326,0.4811311682605074,0.9864210611061912,True,True,True,nan
10,nominal,GA-STT,1,3.6254286426297013,0.48833966212506025,0.8009469867029241,True,True,True,nan
10,nominal,GA-STT,2,3.484501913348742,0.48997156421418675,0.8414406178733902,True,True,True,nan
10,nominal,GA-STT,3,3.8501643238412404,0.48607183401345594,0.9736596790299228,True,True,True,nan
10,nominal,GA-STT,4,3.639766243515225,0.4654368951804857,0.791784611075033,True,True,True,nan
10,nominal,GA-STT,5,3.6847499057599076,0.4419550043620567,0.7919917368335254,True,True,True,nan
10,nominal,GA-STT,6,3.716476664135903,0.5001755498526613,0.7727334925530894,True,True,True,nan
10,nominal,GA-STT,7,3.5851020739973793,0.48691924380964263,0.973356201006721,True,True,True,nan
10,nominal,GA-STT,8,4.026928896894556,0.48645742901419026,0.7227825172839109,True,True,True,nan
10,nominal,GA-STT,9,nan,nan,nan,False,False,False,nan
10,nominal,GA-STT,10,3.595134831760401,0.487437804816203,0.9143367287750206,True,True,True,nan
10,nominal,GA-STT,11,3.7857272061951277,0.4855273778478874,0.8258730596713368,True,True,True,nan
10,nominal,GA-STT,12,3.5682961467462175,0.4854005171410388,1.0406488921910202,True,True,True,nan
10,nominal,GA-STT,13,3.472256870970734,0.48910156919266407,1.0835278905106323,True,True,True,nan
10,nominal,GA-STT,14,3.902574057561521,0.48035886011734513,0.6993206050193389,True,True,True,nan
10,nominal,GA-STT,15,3.781879137885381,0.48188609134937677,0.8198912114360181,True,True,True,nan
10,nominal,GA-STT,16,3.7129967956957373,0.4855174732034211,0.8174478915208775,True,True,True,nan
10,nominal,GA-STT,17,3.673781655912842,0.4876414433132422,0.9916382367922132,True,True,True,nan
10,nominal,GA-STT,18,3.7433564029119664,0.4861025636050266,0.9625041893030523,True,True,True,nan
10,nominal,GA-STT,19,3.4824045679922775,0.47460162867658406,0.9651723814776698,True,True,True,nan
10,nominal,GA-STT,20,3.5113280107468556,0.4873372012698888,0.97084940470289,True,True,True,nan
10,nominal,GA-STT,21,3.462910689443024,0.4877738181732237,1.0726132062894531,True,True,True,nan
10,nominal,GA-STT,22,3.450769241619995,0.4905073766254131,0.7895808543515809,True,True,True,nan
10,nominal,GA-STT,23,3.5888673440857066,0.48758899098631353,0.8272347121649622,True,True,True,nan
10,nominal,GA-STT,24,3.662956962685542,0.485376912415196,0.8506034754919104,True,True,True,nan
10,nominal,Baseline,0,3.4862535566048143,0.6853550044432494,1.0312786570063042,True,True,False,nan
10,nominal,Baseline,1,3.5638978994273374,0.7442223096325303,0.7617128937365089,True,True,False,nan
10,nominal,Baseline,2,3.420240008226911,0.7446178511194366,0.734927537478417,True,True,False,nan
10,nominal,Baseline,3,3.755026254273088,0.7097043021792394,0.77427148067272,True,True,True,nan
10,nominal,Baseline,4,3.5132394263149496,0.6605467574459228,0.6120953473522959,True,True,False,nan
10,nominal,Baseline,5,3.549219759645432,0.5236949219736724,0.5049166662032566,True,True,False,nan
10,nominal,Baseline,6,3.599695332703396,0.7487358869172808,0.6029826106114877,True,True,False,nan
10,nominal,Baseline,7,3.5014519139777605,0.7366707802670563,0.8864017988219418,True,True,False,nan
10,nominal,Baseline,8,3.9289812270626556,0.7269928598360069,0.7171200174570155,True,True,True,nan
10,nominal,Baseline,9,5.50875648133166,0.861160231706979,0.5507280863509042,True,True,False,nan
10,nominal,Baseline,10,3.504098402284788,0.7412012340527004,0.851055136680221,True,True,True,nan
10,nominal,Baseline,11,3.6835947495338903,0.7216096119775576,0.7727391127066381,True,True,True,nan
10,nominal,Baseline,12,3.4539657919133537,0.6835674253472468,1.0538222965623953,True,True,True,nan
10,nominal,Baseline,13,3.4345041454792447,0.744579591413708,0.9836459174744827,True,True,False,nan
10,nominal,Baseline,14,3.743132203671883,0.6649365001210967,0.5365210892763342,True,True,False,nan
10,nominal,Baseline,15,3.592516565463136,0.6413784861155367,0.8274545758376107,True,True,True,nan
10,nominal,Baseline,16,3.604483972170637,0.6872963267167048,0.7078116628236121,True,True,True,nan
